well
4
X
Y
Z
facies
37 33 0 0
2 18 0 0
63 91 0 1
21 21 0 0
91 67 0 0
20 11 0 1
89 70 0 0
27 72 0 0
87 61 0 1
34 62 0 0
18 27 0 0
20 14 0 1
55 88 0 0
15 35 0 1
45 24 0 0
40 64 0 1
2 74 0 0
94 28 0 0
71 20 0 0
63 52 0 0
43 3 0 0
12 36 0 0
95 51 0 0
31 47 0 1
14 30 0 1
17 86 0 0
18 88 0 0
76 51 0 1
78 41 0 0
74 59 0 0
4 53 0 0
97 60 0 0
24 81 0 0
74 16 0 0
40 82 0 0
50 51 0 0
43 43 0 0
92 47 0 0
72 3 0 1
42 27 0 1
29 69 0 0
42 47 0 0
20 3 0 0
25 95 0 0
41 61 0 1
33 23 0 0
58 61 0 0
2 67 0 0
61 19 0 0
56 91 0 0
55 38 0 0
46 62 0 0
78 81 0 1
62 73 0 1
79 41 0 0
5 18 0 0
58 73 0 0
68 76 0 0
46 13 0 0
72 86 0 0
39 15 0 0
71 44 0 0
67 97 0 0
68 58 0 0
69 70 0 0
18 60 0 1
38 78 0 0
43 79 0 0
75 70 0 1
43 4 0 0
78 6 0 1
38 30 0 0
58 69 0 0
36 63 0 0
93 73 0 0
64 91 0 1
92 45 0 0
25 72 0 1
50 97 0 1
98 8 0 0
37 29 0 0
69 72 0 0
67 96 0 0
52 52 0 1
54 91 0 0
12 18 0 0
15 32 0 1
91 98 0 0
28 87 0 1
56 59 0 0
47 59 0 0
19 40 0 0
83 41 0 0
9 99 0 1
44 38 0 1
39 35 0 1
79 76 0 0
84 82 0 1
84 26 0 0
81 23 0 0
